"sampleid","DISEASE","IFI6","MX1","NMI","OAS3","OASL","SAMD9","UBE2L6"
"GSM1228877",1,0.0608504959024587,0.0502661448498719,0.045665414967504,0.0589579981782052,0.0618310226238605,0.00538360173420286,0.0580510265464874
"GSM1228878",0,0.11673341097846,0.0903601878178177,0.0518674962564236,0.0739234603030785,0.123206053437729,0.105948536522872,0.117162069421521
"GSM1228879",0,0.0406278866788087,0.0224812467346415,0.0591128141366271,0,0.0555777892384558,0.0902674120678554,0.10628461992638
"GSM1228880",0,0.252857144098518,0.195807812407482,0.102059713106169,0.216289295948626,0.104551484819006,0.24947385697232,0.255754693600953
"GSM1228881",0,0.154254755076729,0.160272857399833,0.102131088784437,0.166501237177522,0.0930333974212909,0.174351531158599,0.247701256026755
"GSM1228882",0,0,0.0233821168281019,0.0749064724896346,0.0240031166007238,0.0217300929995737,0.115064697494185,0.180319767611885
"GSM1228883",1,1,0.682149589890486,0.416558648109424,0.456914747320522,0.459291434866512,0.602853897838425,0.546274894706979
"GSM1228884",1,0.176748403100886,0.114113357647977,0.179339813645199,0.0784161196047283,0.0224827024684599,0.168647533909375,0.1844976716472
"GSM1228885",1,0.109786075079667,0.071860868850964,0.150982311656857,0.0554651684503632,0.0452040581910556,0.0617591284690793,0.152279436163031
"GSM1228886",1,0.161908012447423,0.184300211606912,0.301673500445676,0.203555540549005,0.0337929675076017,0.223393091730445,0.327650445619881
"GSM1228887",1,0.805302293165477,0.804287853049302,0.673894235055707,0.995840987489828,0.909912959806953,0.95929136447486,0.721334563725347
"GSM1228888",1,0.142835070927942,0.14791517664787,0.157139256841471,0.0612413080197925,0.110775478758275,0.0742493223102087,0.0962316836283007
"GSM1228889",1,0.566013089619447,0.659192009125703,0.317652469929442,0.386945481147898,0.6322530134648,0.273508359003787,0.48108123123548
"GSM1228890",1,0.496063012220377,0.560097334655767,0.18425410932352,0.249354009644336,0.409532910884622,0.321801834738426,0.399545879528617
"GSM1228891",1,0.550326841212564,0.585433839424379,0.224418427889296,0.335902819113869,0.48686085464381,0.406640446921219,0.454970216686767
"GSM1228892",1,0.592901855038428,0.75813006257617,0.45956898992995,0.480876063964019,0.494585893109521,0.535706637289942,0.340917087312835
"GSM1228893",1,0.165703999732258,0.39377406378978,0.34579136368059,0.194272643737276,0.302104225495014,0.23837750223565,0.180513369830531
"GSM1228894",1,0.357246962967275,0.444489278342907,0.465416884598728,0.200289959182189,0.353363933422132,0.33683632618532,0.371748714333784
"GSM1228895",1,0.725773137352311,0.732474935536566,0.260755916400792,0.301461863599105,0.417244135643415,0.51060281002985,0.446583861961357
"GSM1228896",1,0.714710993596608,0.816822627580297,0.280484288257449,0.353944416799043,0.382321275860502,0.391769149137908,0.505161387363009
"GSM1228897",1,0.154183668750596,0.183848367556067,0.213373946128505,0.0846209129362184,0.124307840408991,0.0410791406384175,0.0865255744589908
"GSM1228898",1,0.252966761826583,0.186995182598433,0.200799444659242,0.092852505709226,0.176738025565341,0.096061585939468,0.125945079194524
"GSM1228899",1,0.437298196268167,0.590884122432322,0.173940037932003,0.198051082519229,0.334853577533871,0.192645962344083,0.437324310832596
"GSM1228900",1,0.494752217622646,0.704738270843392,0.164246791986647,0.284729564500587,0.496871609750886,0.311111197343484,0.425412531182033
"GSM1228901",1,0.167600450495344,0.162356665760681,0.13234209764605,0.0860940626734068,0.140014958876783,0.0960478196901244,0.188910008816785
"GSM1228902",1,0.132176143671022,0.168752142128858,0.0508912910346997,0.0560194128657431,0.14664641857778,0.108060363019981,0.123810750722936
"GSM1228903",1,0.233730543194464,0.224968893836499,0.136592660474509,0.0987323897940836,0.179080088984786,0.176398599495874,0.142237351925888
"GSM1228904",1,0.26399937281122,0.305427871007984,0.0429325750404189,0.149859519961869,0.233362008123899,0.168503159726423,0.221407565508755
"GSM1228905",1,0.0949684673153933,0.133285190652805,0.103611197339378,0.0407447328585728,0.087781731806162,0.0725912547514098,0.0848069599059506
"GSM1228906",1,0.33840028429449,0.446125611604035,0.225825084412014,0.207516751893413,0.299292776304192,0.106215600145898,0.386818373587711
"GSM1228907",1,0.338581842387186,0.441945651763347,0.147237091767505,0.232654473074684,0.346324704623838,0.138887492128803,0.374864134503833
"GSM1228908",1,0.418924230126658,0.548102635732015,0.150826626379348,0.250734530290389,0.358184320327597,0.236526790232979,0.436364291573696
"GSM1228909",1,0.436208773489288,0.7199776788019,0.450162197232341,0.330092089418165,0.47977942885268,0.439630209027686,0.766776218530005
"GSM1228910",1,0.73256028446489,0.68629032228902,0.37759440403268,0.435771199667378,0.717885551153576,0.422439705344087,0.718213324754188
"GSM1228911",1,0.220570220940195,0.143937668697349,0.125251598661122,0.0739121125342468,0.101203938684051,0.0551482531340501,0.170843758366869
"GSM1228912",1,0.645044441244326,0.506668763041319,0.170669270158423,0.269305114054457,0.40724380394611,0.34836219309541,0.425559379457345
"GSM1228913",1,0.575784377644836,0.457810101652552,0.217025334070106,0.196427915808705,0.352604906042026,0.210787326287548,0.297223099729658
"GSM1228914",1,0.120529526071121,0.148048906554282,0.0154281148065154,0.0869276705992828,0.133742969835482,0.173597742372201,0.11988184037579
"GSM1228915",0,0.034147009473288,0.0326796367735994,0.044659601034558,0.0638760543343168,0.00458390066320807,0.101991509674805,0.106423939007351
"GSM1228916",0,0.104886827710358,0.0956848039586861,0.0616619577288088,0.0972865789299788,0.0996666257615885,0,0.083491731084711
