"","ID","B_cells_naive","B_cells_memory","Plasma_cells","T_cells_CD8","T_cells_CD4_naive","T_cells_CD4_memory_resting","T_cells_CD4_memory_activated","T_cells_follicular_helper","T_cells_regulatory_(Tregs)","T_cells_gamma_delta","NK_cells_resting","NK_cells_activated","Monocytes","Macrophages_M0","Macrophages_M1","Macrophages_M2","Dendritic_cells_resting","Dendritic_cells_activated","Mast_cells_resting","Mast_cells_activated","Eosinophils","Neutrophils","Group"
"11","GSM1228871",0.305919705448396,0,0,0,0,0.22627479435968,0,0.125403331728266,0,0,0,0.0410200698964822,0,0.121075334303688,0.0109350264463285,0,0,0,0.16937173781716,0,0,0,"healthy"
"12","GSM1228872",0,0,0,0,0.0610671313957541,0,0.0770261677789843,0,0,0,0.0593421114887021,0,0.135907332205485,0,0.0364095443803182,0.198756857626939,0.244185653702294,0,0.187305201421523,0,0,0,"healthy"
"13","GSM1228873",0,0,0.0870010501404164,0.02075605495845,0,0,0.0675171588719505,0.0676155737166475,0,0,0,0.0509131922533821,0.362225217388762,0.132593648860611,0.0196209779678612,0.0318668760861611,0.0576711161484592,0,0,0.0288324723680088,0,0.0733866612392905,"disease"
"14","GSM1228874",0.713965115135647,0,0,0,0,0.05143754716814,0.079272340568266,0.0193858659540319,0,0,0,0,0.0816816041429846,0.0416946632565745,0,0.0125628637743565,0,0,0,0,0,0,"disease"
"15","GSM1228875",0.440969482440917,0,0,0.0467414876129312,0.213508947241819,0,0,0,0,0,0.0288980676191789,0,0.0327241411270639,0,0,0,0.109033603891819,0,0,0.0546704887715303,0,0.0734537812947409,"disease"
"16","GSM1228876",0.129236070093129,0,0,0,0,0.349330377186504,0,0,0,0.0945855232224384,0,0.0872349473942684,0.0770588581250891,0,0,0,0.0528158814744769,0,0.121540981359591,0,0.0881973611445031,0,"healthy"
"17","GSM1228877",0.0187317976084992,0,0.0216147255411697,0,0,0.488686789406489,0,0.0486600117137577,0.0595685928924651,0,0.0765674137795119,0,0,0.0266035136139276,0.0259331276189376,0,0.0634836336787944,0,0,0.0675211970579829,0.0163675167551337,0.0862616803333307,"disease"
"18","GSM1228878",0.0535721818055945,0,0,0.428177430035225,0,0.051576679133003,0,0.0114334404625607,0.0220924046153922,0,0.204148710029286,0.022250771959427,0,0,0,0,0.0450567049796275,0,0.161691676979884,0,0,0,"healthy"
"19","GSM1228879",0,0.0161389041703386,0,0,0.443118285542916,0.151634724516382,0.0911580952861379,0,0,0,0.00651323043674706,0.0184186471113314,0,0,0.0733981129889553,0,0.0803583386990599,0,0.119261661248132,0,0,0,"healthy"
"20","GSM1228880",0,0.100096305387192,0,0,0.0532859599968162,0,0,0.0181894698460459,0.0123132372894418,0.0221066906994599,0.473740012848318,0,0,0,0.0124895984979724,0,0.111451927081308,0,0.105196566686822,0,0.0911302316666243,0,"healthy"
"21","GSM1228881",0.0535490916694651,0,0.028187827107995,0,0.369176427642252,0.10660484116675,0,0,0.0384584477757904,0.0182634360579648,0.276417598206303,0,0,0,0,0,0.05274521756501,0.0565971128084698,0,0,0,0,"healthy"
"22","GSM1228882",0,0,0.0338928053808605,0,0,0.0847739768675275,0.0875491416316263,0.13109038223433,0,0.410342052262932,0,0.0460705442043393,0,0.0644833204230286,0,0,0.0669107333137291,0,0.0748870436816262,0,0,0,"healthy"
"23","GSM1228883",0,0,0.680155384580005,0.0798443060498016,0,0,0.0175344542703053,0.0757513493108607,0,0.0248146775210548,0,0.0440327944915901,0,0,0,0,0,0.0195859392848385,0.0308020505959875,0,0,0.027479043895557,"disease"
"24","GSM1228884",0.176079173783081,0,0,0,0.0366792790735614,0.174062771140088,0.136381855679587,0,0.0490322891758138,0,0.00376007305270951,0.0426161562869258,0,0,0.0014991846931353,0.0150547488602981,0.0228349313563387,0,0.341999536898461,0,0,0,"disease"
"25","GSM1228885",0.0175771470578333,0,0,0.0177034653757417,0.280569621383474,0,0,0.0427260466446426,0.0116273514173137,0,0,0.107885536784705,0.0176076971030652,0,0,0.251501678964844,0.147865433079524,0.00611539950714043,0.0393195136424826,0,0,0.0595011090392327,"disease"
"26","GSM1228886",0,0,0,0,0,0.265622695989002,0,0.0411779449131355,0,0,0,0.184539168122816,0,0,0,0.0690032922690834,0.1113899181366,0.0218744241895134,0.238216529615323,0,0.0681760267645267,0,"disease"
"27","GSM1228887",0.0344531737250772,0,0,0,0,0.0979080779457316,0,0.0400728349988997,0,0,0.127436237491035,0.0781490914371584,0,0,0.0271245446534094,0.0152647672048612,0,0.0771065528996283,0.124739981557218,0,0,0.377744738086981,"disease"
"28","GSM1228888",0.10099962916648,0,0,0,0.0123445973652155,0,0.00269278617711512,0.000257744314282129,0,0.00367935179308739,0.0148998255418262,0,0.571356552314257,0,0,0.106702151522487,0.0191984399425181,0,0.00745821722603653,0,0,0.160410704636695,"disease"
"29","GSM1228889",0.172628162660295,0,0,0.0164906691689639,0.0535088704446118,0,0,0.0611221147438094,0.0463177019653754,0.0365760890629848,0,0.100452753952555,0.354970679349926,0,0.0185219353736512,0.0455025972176146,0,0.0495745279260724,0,0,0,0.0443338981341397,"disease"
"30","GSM1228890",0.245276638953745,0,0,0.00197318904846842,0.481445517321512,0,0.0198804313045911,0,0,0.0163618155599577,0.00138690709153034,0,0,0.00282830678293959,0,0,0.0202428051254002,0.0567570813318164,0.00203323355060555,0,0,0.151814073929433,"disease"
"31","GSM1228891",0,0.0288869153267016,0.0687925524066457,0.123790853160687,0.158186085481728,0,0.0296191326996392,0.0289449197500853,0,0.177038565294046,0,0,0.235478404686571,0,0.0127219676972222,0.0838775211624566,0,0.0211951328099598,0.0278588026186072,0,0,0.00360914690565116,"disease"
"32","GSM1228892",0,0.0135126674985194,0.0412159976590684,0,0.109431244830401,0.193545799887532,0.0393606110472039,0,0.0761969660479864,0.0199840912611548,0,0,0.0844816506960522,0,0,0.00986056409232843,0,0.0922855636429313,0,0.0516068666492784,0.0665444261281805,0.201973550559363,"disease"
