"spec","env","r","p","rd","pd"
"OAS3","B_cells_memory_CIBERSORT",0.0926340233657158,0.0297029702970297,"< 0.2","0.01 - 0.05"
"OAS3","Plasma_cells_CIBERSORT",0.179377062120551,0.0099009900990099,"< 0.2","< 0.01"
"OAS3","Monocytes_CIBERSORT",0.0779882043110867,0.0495049504950495,"< 0.2","0.01 - 0.05"
"OAS3","Macrophages_M1_CIBERSORT",0.155745513750425,0.0099009900990099,"< 0.2","< 0.01"
"OAS3","Dendritic_cells_activated_CIBERSORT",0.215115803781988,0.0099009900990099,"0.2 - 0.4","< 0.01"
"OAS3","Neutrophils_CIBERSORT",0.115017360209247,0.0099009900990099,"< 0.2","< 0.01"
"OAS3","Correlation_CIBERSORT",0.136003318262342,0.0099009900990099,"< 0.2","< 0.01"
"OAS3","RMSE_CIBERSORT",0.133587196675577,0.0198019801980198,"< 0.2","0.01 - 0.05"
"OAS3","B_lineage_MCPcounter",0.126039053824885,0.0099009900990099,"< 0.2","< 0.01"
"OAS3","Monocytic_lineage_MCPcounter",0.147659297028319,0.0099009900990099,"< 0.2","< 0.01"
"OAS3","aDC",0.125106981039046,0.0099009900990099,"< 0.2","< 0.01"
"OAS3","Basophils",0.0458826526495625,0.0297029702970297,"< 0.2","0.01 - 0.05"
"OAS3","CD8+ naive T-cells",0.156216297321405,0.0099009900990099,"< 0.2","< 0.01"
"OAS3","Macrophages M1",0.0707671821456987,0.0396039603960396,"< 0.2","0.01 - 0.05"
"OAS3","Melanocytes",0.0989323919978706,0.0099009900990099,"< 0.2","< 0.01"
"OAS3","Neutrophils",0.123065059076592,0.0099009900990099,"< 0.2","< 0.01"
"OAS3","NKT",0.0428934286878574,0.0495049504950495,"< 0.2","0.01 - 0.05"
"OAS3","Plasma cells",0.0957155253585109,0.0099009900990099,"< 0.2","< 0.01"
"OAS3","Th1 cells",0.0627925986309513,0.0495049504950495,"< 0.2","0.01 - 0.05"
"OAS3","NKcells_EPIC",0.110070523663407,0.0099009900990099,"< 0.2","< 0.01"
"OAS3","TumorPurity_estimate",0.0627499186875025,0.0396039603960396,"< 0.2","0.01 - 0.05"
"OAS3","B_cell_TIMER",0.158435729276764,0.0099009900990099,"< 0.2","< 0.01"
"OAS3","T_cell_CD4_TIMER",0.106271086411688,0.0297029702970297,"< 0.2","0.01 - 0.05"
"OAS3","DC_TIMER",0.109228865183675,0.0099009900990099,"< 0.2","< 0.01"
"OAS3","B_cells_quantiseq",0.076599568494222,0.0198019801980198,"< 0.2","0.01 - 0.05"
"OAS3","MHC_IPS",0.0832013033751245,0.0495049504950495,"< 0.2","0.01 - 0.05"
"OAS3","AZ_IPS",0.087974586264475,0.0198019801980198,"< 0.2","0.01 - 0.05"
"OASL","B_cells_memory_CIBERSORT",0.13420514181499,0.0099009900990099,"< 0.2","< 0.01"
"OASL","Plasma_cells_CIBERSORT",0.163834643597752,0.0099009900990099,"< 0.2","< 0.01"
"OASL","Macrophages_M1_CIBERSORT",0.115171419244598,0.0297029702970297,"< 0.2","0.01 - 0.05"
