"","ID","B_cells_naive","B_cells_memory","Plasma_cells","T_cells_CD8","T_cells_CD4_naive","T_cells_CD4_memory_resting","T_cells_CD4_memory_activated","T_cells_follicular_helper","T_cells_regulatory_(Tregs)","T_cells_gamma_delta","NK_cells_resting","NK_cells_activated","Monocytes","Macrophages_M0","Macrophages_M1","Macrophages_M2","Dendritic_cells_resting","Dendritic_cells_activated","Mast_cells_resting","Mast_cells_activated","Eosinophils","Neutrophils","Group"
"18","GSM2066652",0,0.0439783857783504,0.0668919127488886,0,0.208724953628304,0.142494722104104,0.0570323722463825,0,0,0.23861825781347,0,0,0,0,0.0129877705596692,0.114461621619294,0,0.028345384021464,0,0.0743136584894306,0.00535033760792597,0.00680062338271704,"disease"
"19","GSM2066653",0.0609660062768988,0.0705290578192881,0,0,0.0242725814053801,0.0262493855651944,0.0858407089277338,0,0.00658563178338572,0.124442885518331,0,0.0294392901010645,0,0,0,0.225397882088447,0.120752778313221,0.0458736877332028,0.13027869263194,0,0.0493714118359122,0,"disease"
"20","GSM2066654",0.0748002445894506,0,0,0,0,0.159814025842002,0.0467572377970659,0,0.0166882039901035,0.0700148579680477,0,0.0452629024016187,0,0,0.0463478236728596,0.154018183543111,0.0859234564347107,0.0130688866746266,0.200693162568832,0,0.086611014517572,0,"disease"
"21","GSM2066655",0,0.212069725347893,0,0.0656039793746025,0.188414189385513,0,0,0.0490595469564826,0.0115511564870872,0,0.000173357665683062,0.157304261799057,0,0,0,0.0406221621572718,0,0.00650460983679233,0,0.0931776079625061,0,0.175519403027111,"disease"
"22","GSM2066656",0,0.0617916734776175,0.0396234935710263,0,0.20739283506394,0.0693257055744954,0,0,0.166866053189862,0.0755056822782719,0.0527211009549718,0,0,0,0,0,0.144324711532727,0,0,0.182448744357088,0,0,"disease"
"23","GSM2066657",0,0.037302281657643,0,0,0.108393064071552,0,0,0,0.0720058806194672,0.0108172793310173,0.0611389604669196,0.000938962736297232,0,0,0.0212895787904267,0.392276204585043,0.146802564436706,0.0452804430202696,0.0524934669961364,0,0.0512613132885225,0,"disease"
"24","GSM2066658",0,0,0.0579018580009494,0,0,0,0.109123137692435,0,0,0,0,0,0.398262080228187,0,0,0.209148090682611,0,0.0293121720906243,0,0.196252661305194,0,0,"disease"
"25","GSM2066659",0,0.157822172170432,0,0.101404994482614,0,0.0878133011818586,0.0532942195116317,0,0.0514725779780372,0.0594721997417074,0,0,0.344634397461932,0,0.00164860873404038,0.068441115174297,0.0278557951016623,0.0352494847797681,0,0.0108911336820197,0,0,"disease"
"26","GSM2066660",0,0.0369952648845255,0.0316777606330701,0,0,0.20047516798926,0.00459185065360887,0,0.0445401376094718,0,0.0981085815039093,0,0.0584613033169979,0,0.0350111726918218,0.22069392109086,0.13051070670667,0.0239321629855817,0.0121362280237618,0.0896582381315476,0,0.0132075037789138,"disease"
"27","GSM2066661",0.0574910665621505,0,0.0835456577611874,0.116050007931239,0.13969445922555,0,0.170845725439702,0.035055019600558,0,0,0,0.00204976448056609,0,0.140898376040266,0,0,0.153007991212474,0,0,0.0113235372755729,0,0.0900383944707345,"disease"
"28","GSM2066662",0.170451305672597,0,0.0146444163805791,0.102353835922329,0,0.0228897157659025,0,0,0,0,0.037838744773618,0.0770643254709223,0.0727885714147736,0.11469366931787,0,0,0,0,0.387275415281409,0,0,0,"healthy"
"29","GSM2066663",0.0346022398165384,0,0,0.0867089900895496,0.108791139461503,0,0,0,0,0,0,0.0616988811866695,0.0293765023860572,0,0,0.239994061224836,0.232677421707138,0,0.206150764127709,0,0,0,"healthy"
"30","GSM2066664",0.0317077488903875,0,0.0158168289835728,0.148854184036653,0,0,0,0,0.0483305667910368,0,0,0.0852222654646569,0.0288155871843149,0,0,0,0.348649095908738,0,0.29260372274064,0,0,0,"healthy"
"31","GSM2066665",0.177328245893708,0,0,0,0.0727761480250083,0,0,0,0,0,0,0.134994837236071,0,0.183962130574178,0,0,0.023256799792721,0,0.407681838478314,0,0,0,"healthy"
"32","GSM2066666",0,0.139508900408277,0.179510767588056,0.000207607377490818,0.213484336585428,0,0,0,0.0350857400461346,0,0.00461035992500729,0,0.0178350766905764,0,0,0,0.14544876950721,0,0.147200488509916,0.117107953361904,0,0,"healthy"
"33","GSM2066667",0,0.119994093574502,0.176339293003317,0.225612928361691,0,0.093520844569303,0,0,0.077147997454203,0,0.0103158634909803,0.0221498951822498,0.0146184569883631,0.0148498605208868,0,0,0,0,0.241447856933107,0,0.00400290992139618,0,"healthy"
