"spec","env","r","p","rd","pd"
"MX1","CP_IPS",0.271305905834508,0.0099009900990099,"0.2 - 0.4","< 0.01"
"MX1","B_cells_naive",0.109578258559402,0.0396039603960396,"< 0.2","0.01 - 0.05"
"MX1","T_cells_CD8",0.208606036085451,0.0099009900990099,"0.2 - 0.4","< 0.01"
"MX1","T_cells_CD4_memory_activated",0.388512252057565,0.0099009900990099,"0.2 - 0.4","< 0.01"
"MX1","T_cells_follicular_helper",0.281886873272663,0.0099009900990099,"0.2 - 0.4","< 0.01"
"MX1","T_cells_gamma_delta",0.123441533871927,0.0198019801980198,"< 0.2","0.01 - 0.05"
"MX1","Macrophages_M1",0.206185402683357,0.0099009900990099,"0.2 - 0.4","< 0.01"
"MX1","Dendritic_cells_activated",0.512951483266319,0.0099009900990099,">= 0.4","< 0.01"
"MX1","Mast_cells_activated",0.233849065713525,0.0099009900990099,"0.2 - 0.4","< 0.01"
"MX1","Neutrophils.y",0.348669825367764,0.0099009900990099,"0.2 - 0.4","< 0.01"
"NMI","T_cells_MCPcounter",0.120539980575521,0.0099009900990099,"< 0.2","< 0.01"
"NMI","Cytotoxic_lymphocytes_MCPcounter",0.0715124958297912,0.0198019801980198,"< 0.2","0.01 - 0.05"
"NMI","Myeloid_dendritic_cells_MCPcounter",0.0795536128702504,0.0297029702970297,"< 0.2","0.01 - 0.05"
"NMI","Neutrophils_MCPcounter",0.266025357083046,0.0099009900990099,"0.2 - 0.4","< 0.01"
"NMI","Endothelial_cells_MCPcounter",0.259759588488894,0.0099009900990099,"0.2 - 0.4","< 0.01"
"NMI","Fibroblasts_MCPcounter",0.262702454165781,0.0099009900990099,"0.2 - 0.4","< 0.01"
"NMI","aDC",0.36735462503961,0.0099009900990099,"0.2 - 0.4","< 0.01"
"NMI","B-cells",0.204703917698494,0.0099009900990099,"0.2 - 0.4","< 0.01"
"NMI","Basophils",0.0791798144397088,0.0297029702970297,"< 0.2","0.01 - 0.05"
"NMI","CD4+ memory T-cells",0.367310207255436,0.0099009900990099,"0.2 - 0.4","< 0.01"
"NMI","CD4+ T-cells",0.107306464164752,0.0495049504950495,"< 0.2","0.01 - 0.05"
"NMI","CD4+ Tem",0.189197680352673,0.0099009900990099,"< 0.2","< 0.01"
"NMI","CD8+ naive T-cells",0.0690143025467666,0.0495049504950495,"< 0.2","0.01 - 0.05"
"NMI","CD8+ T-cells",0.100298900958441,0.0297029702970297,"< 0.2","0.01 - 0.05"
"NMI","CD8+ Tcm",0.35504159289401,0.0099009900990099,"0.2 - 0.4","< 0.01"
"NMI","CD8+ Tem",0.292057065497994,0.0099009900990099,"0.2 - 0.4","< 0.01"
"NMI","cDC",0.0572680266466138,0.0495049504950495,"< 0.2","0.01 - 0.05"
